time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-05-05 09:30:00-04:00,MyStrategy,995bd8e4204a4ba8828f011548780343,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-05-05 09:30:00-04:00,MyStrategy,995bd8e4204a4ba8828f011548780343,AAPL,buy,market,fill,1,gtc,0.0,1,stock,170.97999572753906,292.0,0.0
2023-11-03 09:30:00-04:00,MyStrategy,cc681c2d17ce4923827b17304e9535dd,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-03 09:30:00-04:00,MyStrategy,cc681c2d17ce4923827b17304e9535dd,AAPL,buy,market,fill,1,gtc,0.0,1,stock,174.24000549316406,144.0,0.0
